Familia,Resultado,DocumentID,Filename,ValueText,RevisionNo
_SW_Detailing_Mode_,EP10003010,8462,EP10003010 - 416890A_02B+416950A_02B.SLDDRW,0,3
_SW_Detailing_Mode_,EP10003009,8463,EP10003009 - 416890A_02+416950A_02.SLDDRW,0,2
_SW_Detailing_Mode_,EP10003011,8502,EP10003011 - 416900_02 + 416960_02.SLDDRW,0,3
_SW_Detailing_Mode_,EP10003012,8503,EP10003012 - 416900_02b + 416960_02b.SLDDRW,0,3
_SW_Detailing_Mode_,EP08555004-APAGAR(repetido),8520,EP08555004-APAGAR(repetido).SLDDRW,0,4
_SW_Detailing_Mode_,EP08555006-APAGAR(repetido),8522,EP08555006-APAGAR(repetido).SLDDRW,0,4
_SW_Detailing_Mode_,EP08555012-APAGAR(repetido),8528,EP08555012-APAGAR(repetido).SLDDRW,0,7
_SW_Detailing_Mode_,EP08555013-APAGAR(repetido),8529,EP08555013-APAGAR(repetido).SLDDRW,0,5
_SW_Detailing_Mode_,EP05555009,8542,EP05555009 - Paralelismo Réguas Compassos Invisiveis.SLDDRW,0,4
_SW_Detailing_Mode_,EP15003053,8546,EP15003053 - H48105 - TBT Click Handle Mechanism.SLDDRW,0,8
_SW_Detailing_Mode_,8COPCRR0010,8782,8COPCRR0010 - ø9 x 7.4.SLDDRW,0,3
_SW_Detailing_Mode_,MSDCRVOSC0041,8784,MSDCRVOSC0041 - Cravo ø9 x 6.65.SLDDRW,0,4
_SW_Detailing_Mode_,MSDCRVOSC0040,8787,MSDCRVOSC0040 - Cravo ø9 x 6.85.SLDDRW,0,5
_SW_Detailing_Mode_,EP06555001,8897,EP06555001 - OBT109 - OBT101 - OBT139 - OBT141 (DIR).SLDDRW,0,6
_SW_Detailing_Mode_,EP09555003,8924,EP09555003 - Roscar OBT139.SLDDRW,0,3
_SW_Detailing_Mode_,EP09555004,8926,EP09555004 - Roscar OBT140.SLDDRW,0,3
_SW_Detailing_Mode_,EP09555005,8928,EP09555005 - Roscar OBT143.SLDDRW,0,3
_SW_Detailing_Mode_,EP09555006,8930,EP09555006 - Roscar OBT101 (direito).SLDDRW,0,3
_SW_Detailing_Mode_,EP09555007,8932,EP09555007 - Roscar OBT110 (Esquerdo).SLDDRW,0,4
_SW_Detailing_Mode_,EP09555009,8936,EP09555009 - Escarear Compassos - Réguas Segunda Folha.SLDDRW,0,5
_SW_Detailing_Mode_,EP10555003,8940,EP10555003 - Cravar dobradiça inferior direita Invisível.SLDDRW,0,5
_SW_Detailing_Mode_,EP10555004,8942,EP10555004 - Cravar dobradiça inferior esquerda Invisível.SLDDRW,0,5
_SW_Detailing_Mode_,EP06306001_old,8959,EP06306001_old.SLDDRW,0,3
_SW_Detailing_Mode_,EP05306007,8966,EP05306007.SLDDRW,0,5
_SW_Detailing_Mode_,EP05306006,8967,EP05306006.SLDDRW,0,6
_SW_Detailing_Mode_,EP05306003,8970,EP05306003.SLDDRW,0,6
_SW_Detailing_Mode_,EP05306002,8971,EP05306002.SLDDRW,0,5
_SW_Detailing_Mode_,MSDMOLOSC3061,8997,MSDMOLOSC3061 - Mola falsa  manobra 3061.SLDDRW,0,3
_SW_Detailing_Mode_,03-30-163,9005,03-30-163 - Calço 3050.SLDDRW,0,5
_SW_Detailing_Mode_,03-30-170,9007,03-30-170 - Calço 3044.SLDDRW,0,6
_SW_Detailing_Mode_,03-30-142,9020,03-30-142 - Roda dentada 90º.SLDDRW,0,3
_SW_Detailing_Mode_,EP05CT1201,9097,EP05CT1201.SLDDRW,0,3
_SW_Detailing_Mode_,EP05CT0201,9098,EP05CT0201.SLDDRW,0,3
_SW_Detailing_Mode_,EP06306101,9112,EP06306101 - Calços EXL 3052 - 3053.SLDDRW,0,2
_SW_Detailing_Mode_,EP06001009,9129,EP06001009.SLDDRW,0,4
_SW_Detailing_Mode_,EP15003011,9194,EP15003011 - Ensemble Gache Double.SLDDRW,0,3
_SW_Detailing_Mode_,EP05771501_A,9430,EP05771501_A - Corrediça Pontas 7715.SLDDRW,0,3
_SW_Detailing_Mode_,EP06270001,9480,EP06270001.SLDDRW,0,3
_SW_Detailing_Mode_,EP06550404,9658,EP06550404 - OBT133 ; OBT134 ; OBT135 ; OBT136 ; OBT158 ; Clip fixação.SLDDRW,0,4
_SW_Detailing_Mode_,EP15711601,9713,EP15711601 - 7100 - C16.SLDDRW,0,4
_SW_Detailing_Mode_,EP05001001,10018,EP05001001 - _01-MA-005_01-MA-006_01-MA-007.SLDDRW,0,4
_SW_Detailing_Mode_,EP06555005,10035,EP06555005 - OBT109 - OBT102 - OBT138 - OBT141 (DIR).SLDDRW,0,5
_SW_Detailing_Mode_,Montagem,10131,Montagem CTU_v2.SLDDRW,0,2
_SW_Detailing_Mode_,Régua,10133,Régua inferior com pontas JUN2018.SLDDRW,0,4
_SW_Detailing_Mode_,Régua,10134,Régua inferior 1600 com pontas JUN2018.SLDDRW,0,4
_SW_Detailing_Mode_,CT_Central_Alvanca,11408,CT_Central_Alvanca C10.SLDDRW,0,2
_SW_Detailing_Mode_,MSDCRVFEC0023,16372,"MSDCRVFEC0023 - cravo 6x14,5.SLDDRW",0,2
_SW_Detailing_Mode_,03-30-185,16506,03-30-185 centrador_ponto_fecho_multiponto.SLDDRW,0,8
_SW_Detailing_Mode_,EP06761510,16708,EP06761510 - Corrediça Central Inf 1 7615 03-76-002 e 03-76-003.SLDDRW,0,3
_SW_Detailing_Mode_,EP06761507,16711,EP06761507 - Roda A 7615 03-76-027.SLDDRW,0,3
_SW_Detailing_Mode_,EP06761506,16712,EP06761506 - Guia da Roda A 7615 03-76-022 e 03-76-042.SLDDRW,0,3
_SW_Detailing_Mode_,EP06761504,16714,EP06761504 - Zarelho 7615 03-76-001.SLDDRW,0,4
_SW_Detailing_Mode_,EP06761502,16716,EP06761502 - Corrediça Central Inf 2 7615 03-76-014 e 03-76-015.SLDDRW,0,4
_SW_Detailing_Mode_,EP06761503,16715,EP06761503 - Corrediça Central Inf 2 7615 03-76-017 e 03-76-018.SLDDRW,0,3
_SW_Detailing_Mode_,EP05761514,16718,EP05761514 - Cortar-vazar Alavanca 92  01-76-015 e 01-76-016.SLDDRW,0,3
_SW_Detailing_Mode_,EP05761513,16719,EP05761513 - Cortar-vazar Alavanca 85 01-76-013 e 01-76-014.SLDDRW,0,3
_SW_Detailing_Mode_,EP05761512,16720,EP05761512 - Cortar-vazar Espelho 35x92 01-76-011.SLDDRW,0,5
_SW_Detailing_Mode_,EP05761511,16721,EP05761511 - Cortar-vazar Espelho 30x92 01-76-010.SLDDRW,0,4
